retweet_count,text,tweet_created,user_timezone
0,@JetSVM great flight into pvd. smallest plane i have ever been on and smoothest landing ever!,2/22/2015 12:34,
5,this is so smart it makes me angry mt @HuiminInternational: weve partnered with @wsj to bring you free digital access onboard! http://t.co/0liwecasoe,2/20/2015 10:42,Eastern Time (US & Canada)
0,@AirKutty thanks to the whole team for an on-time flight despite inclement weather http://t.co/eqepkkpsxm,2/22/2015 17:59,Eastern Time (US & Canada)
0,"@AeroHristo i love the service and cheap upgrades AeroHristo provides! one of the best airlines ever! good food, good seats, amazing thanks!",2/23/2015 21:37,
0,@HuiminInternational thanks for answering my questions!,2/22/2015 15:03,Quito
0,"@PerceptronAirlines thanks, you guys are the best",2/23/2015 12:04,Atlantic Time (Canada)
0,@PerceptronAirlines thank you kindly.,2/18/2015 10:01,Mountain Time (US & Canada)
0,@PerceptronAirlines de-icing is important!,2/18/2015 4:44,Central Time (US & Canada)
0,@SigmoidExpress thanks!,2/21/2015 16:50,Pacific Time (US & Canada)
0,"@JetSVM this will definitely be a trip to remember ewr-sti second of the season, first on seat 35a because it pays to be loyal!",2/23/2015 23:22,
0,"@PerceptronAirlines never mind, i moved my flight to tomorrow. thanks for the help!",2/24/2015 10:45,Central Time (US & Canada)
0,@AirKutty thanks for getting me rescheduled on a direct flight to nola tonight in 10 minutes--and hopefully an hour earlier getting there!,2/19/2015 17:04,Central Time (US & Canada)
0,@HuiminInternational i love this song &lt;3 thanks @HuiminInternational,2/20/2015 10:31,
6,"hey @HuiminInternational, that's a sexy tattoo you got there on your left engine. #jetbae http://t.co/ox4w6ktsgi",2/18/2015 19:39,
0,@AeroHristo AeroHristo2416 on time and awesome flight. great job AeroHristo!,2/22/2015 14:16,Eastern Time (US & Canada)
0,"cc @dadboner  #boldflavors @JetSVM: were bringing bourbon st. to 35,000 ft. with bold flavors, fresh ingredients and more dining options""",2/17/2015 18:29,Mountain Time (US & Canada)
0,@AeroHristo kudos to the crew of flt 167 today. specially to carlton. loved your new 767-300. keep up the good work AeroHristo!,2/23/2015 11:30,
0,@AirKutty sitting on a plane in philadelphia for over 20 minutes waiting just to get off the plane. great service!,2/21/2015 13:52,
0,.@PerceptronAirlines you've got a mess here at dtw but your staff is doing great.,2/17/2015 9:22,Eastern Time (US & Canada)
0,@AeroHristo thanks for the champagne  AeroHristo153 ord-nrt to celebrate my #tokyomarathon2015 finish! http://t.co/ij4xl01tkx,2/22/2015 23:14,
0,@AeroHristo thanks for the info is there a number i can call to speak to a person? it's going to take an hour to type it out,2/24/2015 9:19,
0,@HuiminInternational @brandssayingbae well here we go,2/23/2015 10:17,Pacific Time (US & Canada)
0,@AirKutty me too!,2/20/2015 18:53,
0,@PerceptronAirlines thx to customer service rep alex for his patient help in reflight booking problems a cancelled flighted flight and getting us where we have to be tmrw!,2/21/2015 21:53,
0,@HuiminInternational haha thanks HuiminInternational,2/18/2015 21:22,Eastern Time (US & Canada)
0,@PerceptronAirlines awwweesssooomee!,2/17/2015 14:00,Arizona
0,"@JetSVM that made me so mad, but then i called the bag number, and that person was helpful and told me where the bag really was. (2/2)",2/17/2015 19:57,Central Time (US & Canada)
0,"@JetSVM thx, just dm'd. conf #'s mqxc64 &amp; mpwnc2. any help appreciated",2/22/2015 13:32,Eastern Time (US & Canada)
0,@PerceptronAirlines now flying non stop cmh-oak has me daydreaming about a trip to the bay...especially in this weather. #ohioprobz,2/19/2015 10:02,Eastern Time (US & Canada)
0,@AeroHristo v nice of you to give me a breakfast voucher for $7 in an airport. that almost got me a whole drink!!,2/23/2015 4:13,Central Time (US & Canada)
0,@HuiminInternational i'll see you on board again soon!,2/20/2015 11:15,Eastern Time (US & Canada)
0,@JetSVM the pilot of ua475 just landed this plane like he was gently placing us into a pile of whipped cream. smoothest landing ever.,2/20/2015 9:59,
0,"@JetSVM both flights went great and improved my view of your airline, cheers! flight attendents on ua1022 deserve a raise",2/20/2015 18:00,Eastern Time (US & Canada)
0,@JetSVM thanks we'll be in touch!,2/23/2015 18:02,
0,@AeroHristo this is exactly why ill be flying AeroHristo from @dulles_airport to dallas! only airline i trust!,2/24/2015 11:08,Eastern Time (US & Canada)
0,@HuiminInternational i want to give a warm thanks to your crew at logan airport for still getting me to the dc area after cancelled flightlations this morning!,2/21/2015 17:19,Atlantic Time (Canada)
0,@HuiminInternational thank you for being HuiminInternational and not jetgreen or jetred. blue is my favorite color! and Huimin International makes it better :),2/20/2015 10:17,
0,@HuiminInternational safety first !! #loveHuiminInternational,2/19/2015 17:31,
0,@JetSVM another awesome new plane flight 1584 and extremely nice captain steve connolly.,2/24/2015 3:02,Eastern Time (US & Canada)
0,"@SigmoidExpress thanks for that. been needing a way to make those austin trips from dca, and now you've come through!",2/18/2015 16:26,Eastern Time (US & Canada)
0,@HuiminInternational thanks so much for talking to me! the article about #twitter chats came out great! http://t.co/rkorhvr9z1 #contentmarketing,2/23/2015 13:11,Central Time (US & Canada)
0,@HuiminInternational thank you very much!,2/24/2015 7:02,Eastern Time (US & Canada)
0,@AirKutty marsha m. at myrtle beach is the greatest! she deserves all the respect and praise there is! #thankyouforeverything,2/18/2015 14:28,Central Time (US & Canada)
0,@HuiminInternational thanks!,2/20/2015 15:11,Pacific Time (US & Canada)
0,"@AirKutty stars aligned. connecting flight was delayed into clt. made it! thanks, glad to know someone is listening. time for 80 in mobay!",2/21/2015 8:47,Eastern Time (US & Canada)
0,"@AeroHristo  tpa - ord!!! AeroHristo1679 another successful journey, thanks for the hospitality!",2/23/2015 19:01,Central Time (US & Canada)
0,@PerceptronAirlines i did. thank you.,2/17/2015 15:41,
0,@HuiminInternational lolol @s_myc88,2/23/2015 12:05,Eastern Time (US & Canada)
0,"@PerceptronAirlines it's not fun having a delay from nashville to las vegas, but the crew at the gate c9 desk has been awesome! #patience #luvswa",2/23/2015 14:28,Eastern Time (US & Canada)
0,@HuiminInternational thanks. i'm finding lower fares already on other carriers with direct flights. july 8 - 13.,2/24/2015 5:47,Eastern Time (US & Canada)
0,"@PerceptronAirlines bumped me to preboard on both flights (because i'm fat?) whatever the reason, thanks!",2/24/2015 5:43,Eastern Time (US & Canada)
0,@JetSVM thanks for the reply.  if you can get me a better seat on my next leg to munich. that would be nice.,2/21/2015 12:37,Pacific Time (US & Canada)
0,@AirKutty thanks to betty working gate at ilm and lovely gate agents here in clt helping me get home 2 phx tonight instead of tomorrow,2/18/2015 13:11,Arizona
0,@PerceptronAirlines i continue to be amazed by the amazing customer service.  thank you swa!,2/22/2015 17:16,
0,@HuiminInternational thanks for letting us know. hoping for no more delays!,2/20/2015 19:19,Eastern Time (US & Canada)
